Name;Country;Lineage;Drug;Collected_Date
SRR4033481;South Africa;lineage 4;Sensitive;2013-06
SRR4033482;South Africa;lineage 4;Sensitive;2013-06
SRR4033483;South Africa;lineage 4;Sensitive;2013-06
SRR4033484;South Africa;lineage 4;Sensitive;2013-06
SRR4033485;South Africa;lineage 4;Sensitive;2013-06
SRR4033486;South Africa;lineage 4;Sensitive;2013-06
SRR4033487;South Africa;lineage 4;Sensitive;2013-06
SRR4033488;South Africa;lineage 4;Sensitive;2013-06
SRR4033489;South Africa;lineage 4;Sensitive;2013-06
SRR4033490;South Africa;lineage 2;Sensitive;2013-01
SRR4033491;South Africa;lineage 4;Sensitive;2013-06
SRR4033492;South Africa;lineage 4;Sensitive;2013-06
SRR4033493;South Africa;lineage 4;Sensitive;2013-06
SRR4033494;South Africa;lineage 4;Sensitive;2013-06
SRR4033495;South Africa;lineage 4;Sensitive;2013-06
SRR4033496;South Africa;lineage 4;Sensitive;2013-06
SRR4033497;South Africa;lineage 4;Sensitive;2013-06
SRR4033498;South Africa;lineage 4;Sensitive;2013-06
SRR4033499;South Africa;lineage 4;Sensitive;2013-06
SRR4033500;South Africa;lineage 4;Sensitive;2013-06
SRR4033501;South Africa;lineage 2;Sensitive;2013-01
SRR4033502;South Africa;lineage 4;Sensitive;2013-06
SRR4033503;South Africa;lineage 4;Sensitive;2013-06
SRR4033504;South Africa;lineage 4;Sensitive;2013-06
SRR4033505;South Africa;lineage 4;Sensitive;2013-06
SRR4033506;South Africa;lineage 4;Sensitive;2013-06
SRR4033507;South Africa;lineage 4;Sensitive;2013-06
SRR4033508;South Africa;lineage 4;Sensitive;2013-06
SRR4033509;South Africa;lineage 4;Sensitive;2013-06
SRR4033510;South Africa;lineage 4;Sensitive;2013-06
SRR4033511;South Africa;lineage 4;Sensitive;2013-06
SRR4033512;South Africa;lineage 2;Sensitive;2013-01
SRR4033513;South Africa;lineage 4;Sensitive;2013-06
SRR4033514;South Africa;lineage 4;Sensitive;2013-06
SRR4033515;South Africa;lineage 4;Sensitive;2013-06
SRR4033516;South Africa;lineage 4;Sensitive;2013-06
SRR4033517;South Africa;lineage 4;Sensitive;2013-06
SRR4033518;South Africa;lineage 4;Sensitive;2013-06
SRR4033519;South Africa;lineage 4;Sensitive;2013-06
SRR4033520;South Africa;lineage 4;Sensitive;2013-06
SRR4033521;South Africa;lineage 4;Sensitive;2013-06
SRR4033522;South Africa;lineage 4;Sensitive;2013-06
SRR4033523;South Africa;lineage 2;Sensitive;2013-01
SRR4033524;South Africa;lineage 4;Sensitive;2013-06
SRR4033525;South Africa;lineage 4;Sensitive;2013-06
SRR4033526;South Africa;lineage 4;Sensitive;2013-06
SRR4033527;South Africa;lineage 4;Sensitive;2013-06
SRR4033528;South Africa;lineage 4;Sensitive;2013-06
SRR4033529;South Africa;lineage 4;Sensitive;2013-06
SRR4033530;South Africa;lineage 4;Sensitive;2013-06
SRR4033531;South Africa;lineage 4;Sensitive;2013-06
SRR4033532;South Africa;lineage 4;Sensitive;2013-06
